date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 13:04:14+00:00,21.37646695,,,,,148.86580046020586,0.0,2726.0,5.937907486111111,0.05774677199074082,-0.005886521099973579
2022-09-04 13:04:16+00:00,21.93988974,,,,,131.3842082838829,0.0,2728.0,6.094413816666667,0.03098249259259256,-0.00315825612564654
2022-09-04 13:04:18+00:00,22.06692644,,,,,36.571409060720164,0.0,2730.0,6.129701788888888,-0.07193810370370375,0.007333140030958588
2022-09-04 13:04:20+00:00,21.50935649,,,,,-59.49147659536288,0.0,2732.0,5.974821247222222,-0.18769282245370364,0.01913280555083625
2022-09-04 13:04:22+00:00,18.69927412,,,,,-118.68690290986633,0.0,2734.0,5.194242811111111,-0.27439974166666653,0.0279714313625552
2022-09-04 13:04:24+00:00,17.19921213,,,,,-145.83457126568499,0.0,2736.0,4.777558925,-0.3280925810185184,0.033444707545210846
2022-09-04 13:04:26+00:00,14.52300196,,,,,-134.4553882053409,0.0,2738.0,4.034167211111111,-0.33762222539351844,0.034416128990164975
2022-09-04 13:04:28+00:00,11.51202915,,,,,-101.94746692622508,0.0,2740.0,3.197785875,-0.3137922274768518,0.031986975277966546
2022-09-04 13:04:30+00:00,9.801176963,,,,,-66.80819411953334,0.0,2742.0,2.722549156388889,-0.24882461187499993,0.025364384492864416
2022-09-04 13:04:32+00:00,8.3652129,,,,,-45.95604268870277,0.0,2744.0,2.3236702499999997,-0.20631313673611107,0.0210309007885944
2022-09-04 13:04:34+00:00,6.920594977,,,,,-35.46343549088414,0.0,2746.0,1.9223874936111112,-0.19215218768518513,0.01958737896892815
2022-09-04 13:04:36+00:00,5.479883629,,,,,-22.860749734684617,0.0,2748.0,1.5221898969444443,-0.16167762351851842,0.016480899441235312
2022-09-04 13:04:38+00:00,4.385531726,,,,,-0.0,12.510815058004253,2750.0,1.2182032572222221,-0.11333762986111102,0.0115532752151999
2022-09-04 13:04:40+00:00,3.915802815,,,,,-0.0,7.064644311077745,2752.0,1.0877230041666668,-0.08527997187499992,0.008693167367482152
2022-09-04 13:04:42+00:00,3.588490181,,,,,-0.0,6.750463261115048,2754.0,0.9968028280555555,-0.08691622002314807,0.00885996126637595
2022-09-04 13:04:44+00:00,2.592830389,,,,,-0.0,5.12222584464214,2756.0,0.7202306636111111,-0.08843563423611105,0.00901484548788084
2022-09-04 13:04:46+00:00,1.953723447,,,,,-0.0,1.6271755798051633,2758.0,0.5427009575,-0.05806886986111103,0.0059193547259032645
2022-09-04 13:04:48+00:00,1.73015015,,,,,1.3137112990283937,0.0,2760.0,0.4805972638888889,-0.01824374261574066,0.0018597087273945626
2022-09-04 13:04:50+00:00,1.942595242,,,,,2.100030588990642,0.0,2762.0,0.5396097894444445,-0.010783084699074,0.0010991931395590213
2022-09-04 13:04:52+00:00,1.815828913,,,,,1.727392485468111,0.0,2764.0,0.5043969202777778,-0.013766701087962898,0.0014033334442367887
2022-09-04 13:04:54+00:00,1.402215425,,,,,2.5227227857458514,0.0,2766.0,0.3895042847222222,0.006416443958333397,-0.0006540717592592657
